source_db	citing paper's eid	citing paper's id	citing paper's doi	cited paper's title	cited paper's authors	cited paper's volume	cited paper's issue
scopus	2-s2.0-85094161734	85094133456		Paul Gregg and Mary Gregory	Wiji, Arulampalam		
scopus	2-s2.0-85094161734	85094122886		Measuring the contribution of the informal sector to the Philipine Economy: Current Practices and Challenges	Bersalesilarina, Lisavivian		
scopus	2-s2.0-85094161734	84924990251		The Global Financial Crisis: The Beginning of the End of the ‘Development’ Agenda?	Birdsall, Nancy		
scopus	2-s2.0-85094161734	84927567071	10.1017/S0047279414000397	Scars that will not disappear: Long-term associations between early and later life unemployment under different welfare regimes	Brandt, Martina; Hank, Karsten	43	4
scopus	2-s2.0-85094161734	33234871	10.2307/2586112	Democracy and social spending in Latin America, 1980-92	Brown, David S.; Hunter, Wendy	93	4
scopus	2-s2.0-85094161734	85044405873		Local Elections and Party Politics in Post-Reformasi Indonesia: A View from Yogyakarta	Choi, Nankyung	26	
scopus	2-s2.0-85094161734	559941		The Comparative Method	Collier, David		
scopus	2-s2.0-85094161734	33646459313	10.1177/019027250506800102	Networks, Norms, and Trust: The Social Psychology of Social Capital* 2004 Cooley Mead Award Address	Schweers Cook, Karen	68	1
scopus	2-s2.0-85094161734	85009470010	10.1111/1744-7941.12138	The growth of non-standard employment in Japan and South Korea: the role of institutional actors and impact on workers and the labour market	Cooke, Fang Lee; Jiang, Yumei; Cooke, Fang Lee	55	2
scopus	2-s2.0-85094161734	34247516592	10.1525/as.2007.47.1.175	The Philippines in 2006: Democracy and its discontents	Coronel, Sheila S.	47	1
scopus	2-s2.0-85094161734	84859201557	10.1080/13602381.2011.601584	How did the Asian economy cope with the global financial crisis and recession? A revaluation and review	Das, Dilip K.	18	1
scopus	2-s2.0-85094161734	84904618834	10.1057/ejdr.2014.7	The rise of social protection in development: Progress, pitfalls and politics	De Haan, Arjan	26	3
scopus	2-s2.0-85094161734	84872384707	10.1111/dech.12005	The Global Financial Crisis: Views from Asia	Dutt, Amitava Krishna	44	1
scopus	2-s2.0-85094161734	85093681813	10.1186/s12651-017-0231-7	Labor market reforms in Europe: Towards more flexicure labor markets?	Eichhorst, Werner; Marx, Paul; Wehner, Caroline; Marx, Paul; Wehner, Caroline	51	1
scopus	2-s2.0-85094161734	53849117483	10.1017/S0003975608000015	Dictatorial institutions and their impact on economic growth	Gandhi, Jennifer	49	1
scopus	2-s2.0-85094161734	84901062016	10.1146/annurev-polisci-032211-213418	Military rule	Geddes, Barbara; Frantz, Erica; Wright, Joseph G.	17	
scopus	2-s2.0-85094161734	85094139747		Mohamed Almenfi and Ian Orton	Ugo, Gentilini		
scopus	2-s2.0-85094161734	85094139747		Mohamed Almenfi and Ian Orton	Ugo, Gentilini		
scopus	2-s2.0-85094161734	33644974102	10.1111/j.1540-5907.2006.00174.x	Cognitive heterogeneity and economic voting: A comparative analysis of four democratic electorates	Gomez, Brad T.; Matthew Wilson; Gomez, Brad T.; Matthew Wilson	50	1
scopus	2-s2.0-85094161734	85044894929		Globalization, Democracy, and the Evolution of Social Contracts in East Asia	Haggard, Stephan	1	
scopus	2-s2.0-85094161734	85094127898		Overview	Handayani, Sri Wening		
scopus	2-s2.0-85094161734	34052260	10.1023/A:1007005619530	Is there a trade-off between economic efficiency and a generous welfare state? A comparison of best cases of ‘The three worlds of welfare capitalism’	Headey, Bruce; Goodin, Robert E.; Muffels, Ruud; Dirven, Henk-Jan	50	2
scopus	2-s2.0-85091849520	2542519993	10.1162/0033553041382139	Trade and productivity	Alcalá, Francisco; Ciccone, Antonio	119	2
scopus	2-s2.0-85091849520	85075028502		On the Measurement of Upstreamness and Downstreamness in Global Value Chains	Antràs; Chor		
scopus	2-s2.0-85091849520	84887511657	10.3982/ECTA10813	Organizing the Global Value Chain	Antràs, Pol; Chor, Davin	81	6
scopus	2-s2.0-85091849520	85030085120	10.1257/mac.20150216	Demand for value added and value-added exchange rates	Bems, Rudolfs; Johnson, Robert C.; Johnson, Robert C.	9	4
